Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume
12/8/2019,120039.36,25869.48047,26069.23047,25824.7207,25824.7207,25824.7207,1200393600
13/8/2019,197908.98,25536.61914,25616.71094,25270.91016,25281.30078,25281.30078,1979089800
14/8/2019,191552.29,25711.09961,25717.98047,25197.38086,25302.2793,25302.2793,1915522900
15/8/2019,214586.46,24945.74023,25552.13086,24899.92969,25495.46094,25495.46094,2145864600
16/8/2019,202247.75,25484.96094,25798.10938,25314.26953,25734.2207,25734.2207,2022477500
19/8/2019,214488.27,25994.80078,26356.2207,25994.80078,26291.83984,26291.83984,2144882700
20/8/2019,182293.61,26256.53906,26347.23047,26149.40039,26231.53906,26231.53906,1822936100
21/8/2019,170147.92,26160.53906,26318.13086,26075.91016,26270.03906,26270.03906,1701479200
22/8/2019,178072.84,26272.91016,26288.24023,25977.66992,26048.7207,26048.7207,1780728400
23/8/2019,162144.09,26057.88086,26241.2207,25940.43945,26179.33008,26179.33008,1621440900
26/8/2019,247560.49,25322,25692.2793,25249.50977,25680.33008,25680.33008,2475604900
27/8/2019,221416.72,25715.98047,25764.60938,25581.73047,25664.07031,25664.07031,2214167200
28/8/2019,146211.44,25767.08008,25830.64063,25596.08008,25615.48047,25615.48047,1462114400
29/8/2019,178486.91,25606.33008,25714.7793,25372.49023,25703.5,25703.5,1784869100
30/8/2019,201789.2,26011.64063,26011.64063,25536.15039,25724.73047,25724.73047,2017892000
2/9/2019,129506.67,25627.83008,25662.31055,25502.69922,25626.55078,25626.55078,1295066700
3/9/2019,114921.02,25546.32031,25736.05078,25498.10938,25527.84961,25527.84961,1149210200
4/9/2019,268852.46,25675.16016,26654.21094,25675.16016,26523.23047,26523.23047,2688524600
5/9/2019,199661.91,26512.85938,26697.84961,26283.11914,26515.5293,26515.5293,1996619100
6/9/2019,189534.47,26773.13086,26790.78906,26563.16992,26690.75977,26690.75977,1895344700
9/9/2019,170094.83,26743.35938,26807.85938,26609.65039,26681.40039,26681.40039,1700948300
10/9/2019,173802.03,26831.98047,26870.76953,26634.4707,26683.67969,26683.67969,1738020300
11/9/2019,207224.62,26790.64063,27159.50977,26705.63086,27159.06055,27159.06055,2072246200
12/9/2019,133704.69,27283.98047,27283.98047,26967.25,27087.63086,27087.63086,1337046900
13/9/2019,117649.63,27154.50977,27366.44922,27074.53906,27352.68945,27352.68945,1176496300
16/9/2019,218910.15,27212.89063,27212.89063,26976.30078,27124.55078,27124.55078,2189101500
17/9/2019,185071.51,26942.96094,26951.83984,26694.36914,26790.24023,26790.24023,1850715100
18/9/2019,137264.41,26838.42969,26891.16016,26730.63086,26754.11914,26754.11914,1372644100
